,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
86,2025-05-09,193.23941899920376,185.4003101215143,203.73862964220694,193.23941899920376,193.23941899920376,1.346135638171844,1.346135638171844,1.346135638171844,1.346135638171844,1.346135638171844,1.346135638171844,0.0,0.0,0.0,194.5855546373756
87,2025-05-12,194.5980109415118,185.49802206421404,205.26446509249254,194.5980109415118,194.5980109415118,1.7945508837287352,1.7945508837287352,1.7945508837287352,1.7945508837287352,1.7945508837287352,1.7945508837287352,0.0,0.0,0.0,196.39256182524053
88,2025-05-13,195.05087492228117,187.23734306949223,207.09653568465188,195.05087492228117,195.05087492228117,1.8841798783460448,1.8841798783460448,1.8841798783460448,1.8841798783460448,1.8841798783460448,1.8841798783460448,0.0,0.0,0.0,196.9350548006272
89,2025-05-14,195.50373890366177,187.64108828690397,207.0511993298231,195.50373890366177,195.50373890366177,2.1493678872379207,2.1493678872379207,2.1493678872379207,2.1493678872379207,2.1493678872379207,2.1493678872379207,0.0,0.0,0.0,197.6531067908997
90,2025-05-15,195.95660288504237,187.35465622629806,207.08428141321488,195.95660288504237,195.95660288504237,1.861616241196996,1.861616241196996,1.861616241196996,1.861616241196996,1.861616241196996,1.861616241196996,0.0,0.0,0.0,197.81821912623937
91,2025-05-16,196.40946686642297,187.61470240806247,207.7103271075793,196.40946686642297,196.40946686642297,1.3461356381673237,1.3461356381673237,1.3461356381673237,1.3461356381673237,1.3461356381673237,1.3461356381673237,0.0,0.0,0.0,197.75560250459029
92,2025-05-19,197.76805881056478,189.68381753667742,209.62893353059388,197.76805881056478,197.76805881056478,1.7945508837146606,1.7945508837146606,1.7945508837146606,1.7945508837146606,1.7945508837146606,1.7945508837146606,0.0,0.0,0.0,199.56260969427944
93,2025-05-20,198.22092279194538,190.13394342896322,211.0784575682941,198.22092279194538,198.22092279194538,1.8841798783480208,1.8841798783480208,1.8841798783480208,1.8841798783480208,1.8841798783480208,1.8841798783480208,0.0,0.0,0.0,200.1051026702934
94,2025-05-21,198.673786773326,190.29316743242086,210.71085490709615,198.673786773326,198.673786773326,2.149367887238447,2.149367887238447,2.149367887238447,2.149367887238447,2.149367887238447,2.149367887238447,0.0,0.0,0.0,200.82315466056443
95,2025-05-22,199.1266507547066,191.43556857840528,210.6381008227949,199.1266507547066,199.1266507547066,1.8616162412016197,1.8616162412016197,1.8616162412016197,1.8616162412016197,1.8616162412016197,1.8616162412016197,0.0,0.0,0.0,200.98826699590822
96,2025-05-23,199.57951473608716,191.26952181956918,210.0559202804037,199.57951473608716,199.57951473608716,1.346135638162803,1.346135638162803,1.346135638162803,1.346135638162803,1.346135638162803,1.346135638162803,0.0,0.0,0.0,200.92565037424995
