,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
54,2025-03-25,266.6397732848502,234.25944505450232,305.61573135120375,266.6397732848502,266.6397732848502,2.3375104796107293,2.3375104796107293,2.3375104796107293,2.3375104796107293,2.3375104796107293,2.3375104796107293,0.0,0.0,0.0,268.97728376446094
55,2025-03-26,265.69835425809083,236.75523350866712,306.46533217542793,265.69835425809083,265.69835425809083,5.0160718517008895,5.0160718517008895,5.0160718517008895,5.0160718517008895,5.0160718517008895,5.0160718517008895,0.0,0.0,0.0,270.7144261097917
56,2025-03-27,264.75693523133145,227.774855708969,299.1276757007196,264.75693523133145,264.75693523133145,1.350587426144485,1.350587426144485,1.350587426144485,1.350587426144485,1.350587426144485,1.350587426144485,0.0,0.0,0.0,266.10752265747595
57,2025-03-28,264.7111488384761,233.71584933277842,304.6353768230916,264.7111488384761,264.7111488384761,2.56958435839898,2.56958435839898,2.56958435839898,2.56958435839898,2.56958435839898,2.56958435839898,0.0,0.0,0.0,267.2807331968751
58,2025-03-31,264.57378965991006,234.34877653838248,303.74102812809133,264.57378965991006,264.57378965991006,3.05054208159539,3.05054208159539,3.05054208159539,3.05054208159539,3.05054208159539,3.05054208159539,0.0,0.0,0.0,267.62433174150544
59,2025-04-01,264.5280032670547,231.68513597378148,304.19871855667947,264.5280032670547,264.5280032670547,2.3375104796157573,2.3375104796157573,2.3375104796157573,2.3375104796157573,2.3375104796157573,2.3375104796157573,0.0,0.0,0.0,266.86551374667044
60,2025-04-02,264.48221687419937,236.05930831390222,306.8965450596951,264.48221687419937,264.48221687419937,5.016071851700396,5.016071851700396,5.016071851700396,5.016071851700396,5.016071851700396,5.016071851700396,0.0,0.0,0.0,269.4982887258998
61,2025-04-03,264.43643048134396,231.1946398886996,301.4528003221909,264.43643048134396,264.43643048134396,1.3505874261469082,1.3505874261469082,1.3505874261469082,1.3505874261469082,1.3505874261469082,1.3505874261469082,0.0,0.0,0.0,265.78701790749085
62,2025-04-04,264.3906440884886,230.46741694782781,301.1942796188598,264.3906440884886,264.3906440884886,2.5695843584046663,2.5695843584046663,2.5695843584046663,2.5695843584046663,2.5695843584046663,2.5695843584046663,0.0,0.0,0.0,266.96022844689327
63,2025-04-07,264.2532849099225,230.31956466117293,303.26512177709054,264.2532849099225,264.2532849099225,3.0505420816039117,3.0505420816039117,3.0505420816039117,3.0505420816039117,3.0505420816039117,3.0505420816039117,0.0,0.0,0.0,267.3038269915264
64,2025-04-08,264.2074985170672,228.24113007317712,302.456168968795,264.2074985170672,264.2074985170672,2.337510479605463,2.337510479605463,2.337510479605463,2.337510479605463,2.337510479605463,2.337510479605463,0.0,0.0,0.0,266.54500899667266
65,2025-04-09,264.8585049404504,235.68623114845116,307.32624061116576,264.8585049404504,264.8585049404504,5.016071851699793,5.016071851699793,5.016071851699793,5.016071851699793,5.016071851699793,5.016071851699793,0.0,0.0,0.0,269.8745767921502
66,2025-04-10,265.50951136383367,230.57695602987107,299.71240200151357,265.50951136383367,265.50951136383367,1.3505874261418667,1.3505874261418667,1.3505874261418667,1.3505874261418667,1.3505874261418667,1.3505874261418667,0.0,0.0,0.0,266.86009878997555
67,2025-04-11,266.16051778721686,233.98746115798383,304.09664390723134,266.16051778721686,266.16051778721686,2.5695843584231572,2.5695843584231572,2.5695843584231572,2.5695843584231572,2.5695843584231572,2.5695843584231572,0.0,0.0,0.0,268.73010214564005
68,2025-04-14,268.1135370573666,237.46385890002543,304.66344469123453,268.1135370573666,268.1135370573666,3.0505420816124325,3.0505420816124325,3.0505420816124325,3.0505420816124325,3.0505420816124325,3.0505420816124325,0.0,0.0,0.0,271.16407913897905
69,2025-04-15,268.76454348074986,235.3456176026983,307.1081256458432,268.76454348074986,268.76454348074986,2.3375104796104895,2.3375104796104895,2.3375104796104895,2.3375104796104895,2.3375104796104895,2.3375104796104895,0.0,0.0,0.0,271.10205396036037
70,2025-04-16,269.41554990413306,237.29845646635675,306.7122274719777,269.41554990413306,269.41554990413306,5.0160718517022636,5.0160718517022636,5.0160718517022636,5.0160718517022636,5.0160718517022636,5.0160718517022636,0.0,0.0,0.0,274.4316217558353
71,2025-04-17,270.0665563275163,235.61858730952792,306.7719203449019,270.0665563275163,270.0665563275163,1.3505874261368247,1.3505874261368247,1.3505874261368247,1.3505874261368247,1.3505874261368247,1.3505874261368247,0.0,0.0,0.0,271.41714375365314
72,2025-04-21,272.67058202104926,240.71170996616812,312.3727681613084,272.67058202104926,272.67058202104926,3.050542081607259,3.050542081607259,3.050542081607259,3.050542081607259,3.050542081607259,3.050542081607259,0.0,0.0,0.0,275.7211241026565
73,2025-04-22,273.3215885874407,240.1851147312388,310.40330761079656,273.3215885874407,273.3215885874407,2.3375104796127544,2.3375104796127544,2.3375104796127544,2.3375104796127544,2.3375104796127544,2.3375104796127544,0.0,0.0,0.0,275.6590990670535
74,2025-04-23,273.9725951538321,243.77151740866196,314.5168513964743,273.9725951538321,273.9725951538321,5.016071851701662,5.016071851701662,5.016071851701662,5.016071851701662,5.016071851701662,5.016071851701662,0.0,0.0,0.0,278.9886670055338
75,2025-04-24,274.6236017202235,241.5570172443284,310.8369673920029,274.6236017202235,274.6236017202235,1.3505874261392488,1.3505874261392488,1.3505874261392488,1.3505874261392488,1.3505874261392488,1.3505874261392488,0.0,0.0,0.0,275.9741891463628
76,2025-04-25,275.2746082866149,241.93340209355975,312.2319093459362,275.2746082866149,275.2746082866149,2.5695843584074094,2.5695843584074094,2.5695843584074094,2.5695843584074094,2.5695843584074094,2.5695843584074094,0.0,0.0,0.0,277.8441926450223
77,2025-04-28,277.2276279857891,244.74935253860278,315.5668404473113,277.2276279857891,277.2276279857891,3.050542081602085,3.050542081602085,3.050542081602085,3.050542081602085,3.050542081602085,3.050542081602085,0.0,0.0,0.0,280.2781700673912
78,2025-04-29,277.8786345521806,242.59059441680895,318.0321087258805,277.8786345521806,277.8786345521806,2.3375104796101227,2.3375104796101227,2.3375104796101227,2.3375104796101227,2.3375104796101227,2.3375104796101227,0.0,0.0,0.0,280.2161450317907
79,2025-04-30,278.529641118572,248.27675808954345,317.92134898000825,278.529641118572,278.529641118572,5.016071851701276,5.016071851701276,5.016071851701276,5.016071851701276,5.016071851701276,5.016071851701276,0.0,0.0,0.0,283.54571297027326
80,2025-05-01,279.1806476849634,245.9591856935674,315.5182579173124,279.1806476849634,279.1806476849634,1.3505874261416722,1.3505874261416722,1.3505874261416722,1.3505874261416722,1.3505874261416722,1.3505874261416722,0.0,0.0,0.0,280.53123511110505
81,2025-05-02,279.8316542524087,246.19364500826757,316.98422666666596,279.8316542524087,279.8316542524087,2.5695843584130955,2.5695843584130955,2.5695843584130955,2.5695843584130955,2.5695843584130955,2.5695843584130955,0.0,0.0,0.0,282.4012386108218
82,2025-05-05,281.78467395474473,247.43256942734277,320.7763211827953,281.78467395474473,281.78467395474473,3.050542081610607,3.050542081610607,3.050542081610607,3.050542081610607,3.050542081610607,3.050542081610607,0.0,0.0,0.0,284.83521603635535
83,2025-05-06,282.43568052219007,252.97355854058196,320.7783029231427,282.43568052219007,282.43568052219007,2.3375104796074884,2.3375104796074884,2.3375104796074884,2.3375104796074884,2.3375104796074884,2.3375104796074884,0.0,0.0,0.0,284.77319100179756
84,2025-05-07,283.0866870896354,254.9217328173282,323.4638213320902,283.0866870896354,283.0866870896354,5.016071851700673,5.016071851700673,5.016071851700673,5.016071851700673,5.016071851700673,5.016071851700673,0.0,0.0,0.0,288.1027589413361
85,2025-05-08,283.73769365708074,250.18297593662567,320.9817682542971,283.73769365708074,283.73769365708074,1.3505874261401072,1.3505874261401072,1.3505874261401072,1.3505874261401072,1.3505874261401072,1.3505874261401072,0.0,0.0,0.0,285.08828108322086
86,2025-05-09,284.3887002245261,251.57549966389647,324.080082364079,284.3887002245261,284.3887002245261,2.5695843584187816,2.5695843584187816,2.5695843584187816,2.5695843584187816,2.5695843584187816,2.5695843584187816,0.0,0.0,0.0,286.9582845829449
87,2025-05-12,286.341719926862,253.94140505199368,325.0070713743397,286.341719926862,286.341719926862,3.050542081619127,3.050542081619127,3.050542081619127,3.050542081619127,3.050542081619127,3.050542081619127,0.0,0.0,0.0,289.39226200848117
88,2025-05-13,286.9927264943074,255.94838984746562,324.10314835102145,286.9927264943074,286.9927264943074,2.337510479612515,2.337510479612515,2.337510479612515,2.337510479612515,2.337510479612515,2.337510479612515,0.0,0.0,0.0,289.3302369739199
89,2025-05-14,287.6437330395982,257.7950396793647,327.5208453037531,287.6437330395982,287.6437330395982,5.01607185170018,5.01607185170018,5.01607185170018,5.01607185170018,5.01607185170018,5.01607185170018,0.0,0.0,0.0,292.6598048912984
90,2025-05-15,288.29473958488904,254.70684272783953,325.6918161639281,288.29473958488904,288.29473958488904,1.3505874261350657,1.3505874261350657,1.3505874261350657,1.3505874261350657,1.3505874261350657,1.3505874261350657,0.0,0.0,0.0,289.6453270110241
91,2025-05-16,288.9457461301799,258.0376368546263,324.4037715766998,288.9457461301799,288.9457461301799,2.569584358410908,2.569584358410908,2.569584358410908,2.569584358410908,2.569584358410908,2.569584358410908,0.0,0.0,0.0,291.5153304885908
92,2025-05-19,290.8987657660524,259.4603730990198,328.753177415658,290.8987657660524,290.8987657660524,3.050542081597888,3.050542081597888,3.050542081597888,3.050542081597888,3.050542081597888,3.050542081597888,0.0,0.0,0.0,293.9493078476503
93,2025-05-20,291.54977231134325,258.22918159614164,327.6305454124211,291.54977231134325,291.54977231134325,2.337510479607121,2.337510479607121,2.337510479607121,2.337510479607121,2.337510479607121,2.337510479607121,0.0,0.0,0.0,293.8872827909504
94,2025-05-21,292.2007788566341,259.0496899285459,332.4032821484792,292.2007788566341,292.2007788566341,5.016071851699578,5.016071851699578,5.016071851699578,5.016071851699578,5.016071851699578,5.016071851699578,0.0,0.0,0.0,297.21685070833365
95,2025-05-22,292.8517854019249,254.8935951935058,331.49092994351344,292.8517854019249,292.8517854019249,1.350587426144954,1.350587426144954,1.350587426144954,1.350587426144954,1.350587426144954,1.350587426144954,0.0,0.0,0.0,294.2023728280698
96,2025-05-23,293.50279194721566,259.8100059029588,331.0146668445754,293.50279194721566,293.50279194721566,2.569584358403034,2.569584358403034,2.569584358403034,2.569584358403034,2.569584358403034,2.569584358403034,0.0,0.0,0.0,296.07237630561866
97,2025-05-27,296.10676079604247,262.2878206905618,331.2286231769909,296.10676079604247,296.10676079604247,2.3375104796121486,2.3375104796121486,2.3375104796121486,2.3375104796121486,2.3375104796121486,2.3375104796121486,0.0,0.0,0.0,298.4442712756546
98,2025-05-28,296.75775300824915,266.3767565973587,337.22126704220295,296.75775300824915,296.75775300824915,5.016071851699084,5.016071851699084,5.016071851699084,5.016071851699084,5.016071851699084,5.016071851699084,0.0,0.0,0.0,301.77382485994826
